Configuration;TankWar;Tank_Player1;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Tank_Player2;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;mov;Feature_30;Feature_31;Feature_32;Feature_33;Feature_34;tar;Hinderniss_Set;Power_Ups;Feature_36;Feature_37;Feature_38;Feature_39;Feature_40;Feature_41;Feature_42;Feature_43;Feature_44;Feature_45;Feature_46;Feature_47;Feature_48;Feature_49;Feature_50;Feature_51;Feature_52;Feature_53;Feature_54;Feature_55;Feature_56;Feature_57;Activate_Power_Up;Feature_58;Feature_59;Feature_60;Feature_61;Feature_62;Feature_63;Feature_64;Feature_65;Background;Feature_67;Feature_68;Feature_69;Feature_70;Feature_71;Feature_72;Feature_73;Feature_74;Feature_75;Feature_76;Feature_77;Feature_78;Feature_79;rocketStyle;Feature_81;Feature_82;Feature_83;Feature_84;Feature_85;Sounds;Player1_Sound_Rotation;Feature_87;Feature_88;Feature_89;Feature_90;Feature_91;Feature_92;Feature_93;Feature_94;Feature_95;Feature_96;Feature_97;Feature_98;Feature_99;Feature_100;Feature_101;Feature_102;Player1_Sound_Movement;Feature_104;Feature_105;Feature_106;Feature_107;Feature_108;Feature_109;Feature_110;Feature_111;Feature_112;Feature_113;Feature_114;Feature_115;Feature_116;Feature_117;Feature_118;Feature_119;Player2_Sound_Rotation;Feature_121;Feature_122;Feature_123;Feature_124;Feature_125;Feature_126;Feature_127;Feature_128;Feature_129;Feature_130;Feature_131;Feature_132;Feature_133;Feature_134;Feature_135;Feature_136;Player2_Sound_Movement;Feature_138;Feature_139;Feature_140;Feature_141;Feature_142;Feature_143;Feature_144;Feature_145;Feature_146;Feature_147;Feature_148;Feature_149;Feature_150;Feature_151;Feature_152;Feature_153
267;+;+;-;-;-;-;-;+;+;-;-;-;+;-;-;+;+;-;-;-;-;+;-;+;-;+;-;+;-;+;-;+;-;+;+;-;-;+;+;-;-;+;-;+;-;+;+;+;+;+;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
268;+;+;-;-;+;-;-;-;+;-;-;+;-;-;-;+;+;-;-;-;-;+;+;+;+;+;-;+;-;+;-;-;-;-;+;+;+;+;+;+;+;-;+;-;-;+;+;-;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-
269;+;+;-;-;-;-;+;-;+;-;-;+;-;-;-;+;+;-;-;-;-;+;+;+;+;-;+;-;+;-;-;+;-;+;-;+;-;-;+;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-
270;+;+;-;-;-;-;-;+;+;-;-;-;-;+;-;+;-;+;-;-;-;-;-;+;+;+;-;+;+;-;+;-;-;-;+;+;-;+;-;+;+;+;-;+;-;-;+;-;+;+;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
271;+;+;-;+;-;-;-;-;+;-;-;-;+;-;-;+;-;+;-;-;-;+;+;+;-;-;-;+;+;-;+;-;-;-;-;+;-;+;+;+;-;+;-;+;+;-;+;+;+;+;+;-;+;-;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
272;+;+;-;-;+;-;-;-;+;-;-;-;+;-;-;+;-;+;-;-;-;+;+;+;+;+;+;+;-;-;-;-;+;-;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;-;-;+;+;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
273;+;+;-;-;-;+;-;-;+;-;-;+;-;-;-;+;-;-;+;-;-;+;+;+;-;-;-;-;+;-;-;-;+;+;-;-;-;+;+;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
274;+;+;-;+;-;-;-;-;+;-;-;-;-;+;-;+;-;+;-;-;-;+;-;+;+;+;-;-;+;-;-;+;+;-;+;-;+;-;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
275;+;+;+;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;+;+;-;+;+;-;+;-;+;-;-;-;-;+;+;-;-;+;+;+;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
276;+;+;-;+;-;-;-;-;+;-;-;+;-;-;-;+;-;-;+;-;-;-;+;+;+;-;-;-;+;+;+;-;-;+;+;-;-;+;-;-;+;-;+;+;+;-;+;-;-;+;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
277;+;+;+;-;-;-;-;-;+;-;-;-;+;-;-;+;-;+;-;-;-;+;+;+;-;-;-;-;+;-;+;+;+;+;-;+;-;+;+;+;+;-;-;+;-;+;+;+;-;-;+;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
278;+;+;-;+;-;-;-;-;+;-;-;-;+;-;-;+;-;-;+;-;-;-;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-
279;+;+;-;-;-;+;-;-;+;+;-;-;-;-;-;+;-;-;-;+;-;-;+;+;-;+;-;+;-;+;-;+;+;-;+;+;+;-;+;+;-;+;-;+;+;+;+;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
280;+;+;+;-;-;-;-;-;+;+;-;-;-;-;-;+;-;-;-;+;-;-;-;+;-;-;-;+;+;+;+;-;-;+;-;-;-;-;+;-;+;-;-;-;+;+;+;-;-;-;+;-;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-
281;+;+;-;-;-;+;-;-;+;-;-;+;-;-;-;+;-;-;-;+;-;-;+;+;+;-;-;+;+;+;-;-;-;+;-;-;+;-;+;+;-;-;-;-;+;+;+;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
282;+;+;-;+;-;-;-;-;+;-;-;-;-;+;-;+;-;+;-;-;-;-;+;+;+;+;+;+;-;-;-;-;+;-;-;+;+;-;+;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-
283;+;+;-;+;-;-;-;-;+;-;-;+;-;-;-;+;+;-;-;-;-;-;+;+;-;-;+;-;+;+;-;+;-;+;+;-;+;+;-;-;+;+;-;+;+;+;+;+;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
284;+;+;-;-;-;-;-;+;+;-;-;+;-;-;-;+;+;-;-;-;-;+;-;+;-;+;-;+;-;+;-;+;+;+;-;+;-;+;+;+;-;-;-;-;-;+;+;+;+;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
285;+;+;-;-;-;-;-;+;+;-;-;+;-;-;-;+;+;-;-;-;-;+;+;+;-;+;+;-;+;+;+;+;-;-;-;-;-;-;+;+;-;-;+;-;+;+;+;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
286;+;+;-;-;-;-;-;+;+;-;-;-;+;-;-;+;-;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;+;-;+;+;-;+;-;+;+;-;-;+;+;-;+;-;+;-;+;+;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-
287;+;+;-;-;-;+;-;-;+;-;+;-;-;-;-;+;-;-;+;-;-;-;-;+;+;+;-;-;+;-;+;+;+;+;+;-;-;-;+;-;+;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
288;+;+;-;-;-;+;-;-;+;-;-;-;-;+;-;+;-;-;-;+;-;-;-;+;+;+;+;-;-;-;-;+;+;-;+;-;-;-;-;-;+;-;+;+;-;-;+;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
289;+;+;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;+;-;-;-;+;+;+;+;-;-;-;+;+;-;+;+;+;+;-;-;-;-;-;-;-;+;+;+;-;+;-;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-
290;+;+;-;-;-;+;-;-;+;-;-;-;-;+;-;+;+;-;-;-;-;-;-;+;+;-;+;-;+;-;-;+;+;-;-;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
291;+;+;-;-;-;-;+;-;+;-;-;-;-;-;+;+;-;-;-;+;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;-;+;+;-;+;+;+;+;-;+;+;+;-;+;+;-;+;+;+;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-
292;+;+;-;-;-;+;-;-;+;+;-;-;-;-;-;+;+;-;-;-;-;+;-;+;+;+;-;-;+;-;+;+;+;+;-;+;+;-;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
293;+;+;-;-;-;+;-;-;+;-;+;-;-;-;-;+;-;+;-;-;-;-;+;+;-;-;+;-;+;+;+;-;-;-;+;+;-;+;+;-;+;-;-;-;+;-;+;+;+;+;-;+;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-
294;+;+;-;-;+;-;-;-;+;-;+;-;-;-;-;+;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;+;-;+;+;-;+;+;+;+;-;-;-;+;+;+;+;-;+;-;+;-;-;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-
295;+;+;-;-;-;+;-;-;+;-;+;-;-;-;-;+;+;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;-;+;-;+;+;-;-;-;+;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
296;+;+;-;-;+;-;-;-;+;-;-;+;-;-;-;+;+;-;-;-;-;+;+;+;-;-;+;-;-;-;-;+;+;-;+;-;+;-;+;+;-;-;+;-;-;-;+;-;-;-;-;+;-;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
297;+;+;-;+;-;-;-;-;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;+;+;-;+;+;+;+;-;+;-;+;-;-;-;-;-;-;-;+;+;-;+;+;+;-;+;-;+;-;+;+;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
298;+;+;+;-;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;+;+;+;+;+;+;-;+;-;+;-;-;+;-;-;-;-;-;+;+;+;+;-;+;+;+;-;-;+;+;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
299;+;+;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;-;-;+;-;-;-;+;+;-;-;+;+;-;+;+;-;-;+;-;-;-;-;-;-;-;+;+;+;-;-;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
300;+;+;-;+;-;-;-;-;+;-;-;+;-;-;-;+;+;-;-;-;-;+;-;+;+;+;+;+;-;+;-;-;-;-;-;+;-;+;+;+;+;+;-;+;-;+;+;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
301;+;+;-;-;+;-;-;-;+;-;-;-;+;-;-;+;-;-;+;-;-;-;+;+;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
302;+;+;-;+;-;-;-;-;+;+;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;+;+;-;+;-;+;-;+;+;+;+;-;-;+;+;-;-;-;+;+;-;-;+;+;-;-;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-
303;+;+;-;+;-;-;-;-;+;+;-;-;-;-;-;+;-;-;-;-;+;-;+;+;+;+;+;+;-;+;+;-;-;-;+;+;-;+;-;-;-;-;+;-;+;-;+;+;+;+;+;-;+;+;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
304;+;+;+;-;-;-;-;-;+;+;-;-;-;-;-;+;-;-;-;+;-;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;+;-;+;-;-;-;-;-;+;-;+;-;-;-;+;-;+;+;+;+;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-
305;+;+;-;+;-;-;-;-;+;-;-;-;-;-;+;+;-;-;+;-;-;+;+;+;+;-;+;+;+;-;+;-;+;-;+;-;-;-;+;+;-;+;-;+;-;-;+;-;-;+;-;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
306;+;+;+;-;-;-;-;-;+;-;-;-;-;+;-;+;-;+;-;-;-;+;-;+;-;-;+;+;-;-;-;+;+;+;-;-;+;-;+;+;-;+;-;+;-;+;+;+;-;+;-;-;-;+;-;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-
307;+;+;+;-;-;-;-;-;+;-;+;-;-;-;-;+;-;+;-;-;-;+;-;+;+;+;-;+;-;+;-;+;+;-;-;+;-;+;-;+;-;+;-;+;+;+;+;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;+;-;-;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-
308;+;+;-;-;+;-;-;-;+;-;+;-;-;-;-;+;-;+;-;-;-;-;+;+;+;-;+;-;+;+;-;+;-;-;-;+;-;+;+;+;+;+;+;+;+;-;+;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+;-;-;-;-;+;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-
309;+;+;-;-;-;+;-;-;+;+;-;-;-;-;-;+;+;-;-;-;-;+;-;+;+;-;+;-;+;+;-;+;+;-;+;+;+;-;+;+;-;+;-;+;+;-;+;+;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
310;+;+;-;-;-;-;+;-;+;-;-;-;-;-;+;+;-;-;+;-;-;+;-;+;+;+;-;-;-;-;+;+;+;+;-;-;-;-;+;+;-;+;-;-;-;+;+;+;+;+;-;-;+;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
311;+;+;-;-;-;-;+;-;+;+;-;-;-;-;-;+;-;-;-;+;-;+;-;+;+;-;-;-;+;+;-;-;+;-;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;-;-;-;+;-;-;-;-;-;-;-;-;+;-;-;-;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-
